id,first_name,last_name,email,shoe_type,shoe_material,shoe_color,price
50912,Nicole,Morgan,NicoleMorgan51@hotmail.com,boots,faux-leather,black,114.0
26090,Jacob,Callahan,JacobCallahan54@example.com,stilettos,leather,black,286.0
65512,Brenda,Jacobson,Brenda.Jacobson@example.com,wedges,leather,navy,195.0
15125,Elizabeth,Day,Elizabeth.Day@example.com,wedges,fabric,navy,204.0
72787,Patrick,Keller,PatrickKeller42@outlook.com,stilettos,fabric,black,285.0
60684,Anna,Lancaster,Anna.Lancaster@hotmail.com,boots,leather,red,435.0
36015,Richard,Forbes,RForbes1973@example.com,wedges,faux-leather,black,289.0
73858,Lisa,Durham,Lisa.Durham@example.com,boots,faux-leather,white,339.0
62605,Jennifer,Chang,JC2229@example.com,boots,fabric,navy,205.0
54049,Kelly,Montoya,KellyMontoya63@example.com,wedges,leather,brown,141.0
13769,Arthur,Casey,AC1888@example.com,boots,fabric,navy,230.0
10204,Victoria,Higgins,VictoriaHiggins66@hotmail.com,ballet flats,leather,red,187.0
52786,Ronald,Morton,RM3539@example.com,sandles,fabric,navy,286.0
90249,Joan,Rivas,JoanRivas66@example.com,clogs,fabric,red,437.0
26448,Stephen,Stevens,StephenStevens66@example.com,boots,leather,brown,176.0
74824,Abigail,Johns,Abigail.Johns@example.com,wedges,fabric,black,283.0
62812,Jessica,Ortega,Jessica.Ortega@example.com,sandles,faux-leather,white,236.0
40484,Walter,Cunningham,Walter.Cunningham@example.com,boots,fabric,navy,372.0
66605,Justin,Knight,JKnight1985@example.com,clogs,faux-leather,brown,138.0
17784,Louis,Miranda,LouisMiranda65@example.com,clogs,leather,black,451.0
84878,Carolyn,O'neil,Carolyn.O'neil@example.com,boots,leather,white,227.0
97228,Margaret,Pickett,MP1336@example.com,stilettos,faux-leather,brown,351.0
13553,Aaron,Hanson,AH3867@example.com,clogs,faux-leather,navy,493.0
91572,Ethan,Hobbs,EH6701@example.com,boots,leather,white,193.0
22823,Linda,Russo,LR1703@example.com,wedges,faux-leather,navy,406.0
54425,John,Ramos,JRamos1982@example.com,clogs,leather,brown,313.0
83346,Rachel,Lowery,Rachel.Lowery@example.com,ballet flats,faux-leather,brown,212.0
86546,Lisa,Spence,LSpence1998@example.com,wedges,faux-leather,black,115.0
55282,Noah,Knox,Noah.Knox@example.com,ballet flats,faux-leather,white,308.0
33364,Andrea,Chang,Andrea.Chang@yahoo.com,ballet flats,faux-leather,white,106.0
61294,Bobby,Watkins,BWatkins1975@outlook.com,sandles,faux-leather,brown,241.0
83961,Stephen,Hogan,SHogan1990@example.com,sandles,faux-leather,brown,113.0
56339,Lisa,Mcfadden,LisaMcfadden49@example.com,clogs,fabric,black,221.0
68675,Ruth,Owen,RO7614@example.com,clogs,leather,white,324.0
68967,Sharon,Franco,SFranco1983@example.com,ballet flats,fabric,brown,124.0
42304,Danielle,Hawkins,DH1551@example.com,sandles,fabric,navy,122.0
57075,Jesse,Foster,JesseFoster77@example.com,clogs,fabric,brown,234.0
97943,David,Fuentes,DFuentes1984@hotmail.com,clogs,fabric,black,242.0
93774,Rebecca,Park,RebeccaPark83@example.com,ballet flats,fabric,black,226.0
70164,Ann,Greene,Ann.Greene@example.com,stilettos,fabric,red,474.0
24999,Paul,Freeman,PaulFreeman9@example.com,sandles,fabric,red,409.0
19127,Philip,Dillard,Philip.Dillard@example.com,wedges,faux-leather,red,411.0
67253,Amber,Daugherty,AmberDaugherty60@example.com,clogs,faux-leather,red,95.0
55075,Ashley,Rogers,Ashley.Rogers@hotmail.com,wedges,faux-leather,brown,269.0
39447,Denise,Mendoza,DM2227@outlook.com,clogs,faux-leather,brown,93.0
26805,Sean,Richardson,SR5213@example.com,sandles,fabric,navy,339.0
35529,Carol,Reilly,CarolReilly18@example.com,wedges,fabric,brown,429.0
49703,Paul,Henderson,Paul.Henderson@example.com,stilettos,fabric,red,430.0
47183,Cynthia,Duffy,CDuffy1983@example.com,clogs,leather,black,451.0
83778,Joe,Perry,JoePerry3@example.com,ballet flats,leather,white,196.0
79139,Susan,Cash,SusanCash16@example.com,sandles,faux-leather,red,185.0
81591,Theresa,Henderson,THenderson1993@example.com,stilettos,leather,white,342.0
21506,Scott,Deleon,Scott.Deleon@example.com,stilettos,fabric,black,374.0
77266,Zachary,Gregory,Zachary.Gregory@example.com,sandles,leather,red,216.0
67264,Danielle,Merrill,DMerrill1998@example.com,wedges,faux-leather,red,461.0
19100,Danielle,Barron,DBarron1982@example.com,sandles,leather,white,313.0
26210,Marilyn,Finch,MarilynFinch92@example.com,sandles,leather,black,nan
